kpoint_index bandID energy groupVel_x groupVel_y groupVel_z DOS fermiEnergy
Max kpoint index: 216
Max bandID: 3
1 1 0.679252 0.000000 0.000000 0.000000 1.000000000000000 0.679252
1 2 0.679252 0.000000 0.000000 0.000000 2.000000000000000 0.679252
1 3 0.679252 0.000000 0.000000 0.000000 3.000000000000000 0.679252
2 1 0.507468 0.717862 -0.717862 0.717862 1.000000000000000 0.507468
2 2 0.654765 -0.084876 -0.292621 -0.084876 2.000000000000000 0.654765
2 3 0.654765 0.292621 0.084876 0.292622 3.000000000000000 0.654765
3 1 0.228116 0.702358 -0.702358 0.702358 1.000000000000000 0.228116
3 2 0.616683 -0.080510 -0.240826 -0.080510 2.000000000000000 0.616683
3 3 0.616683 0.240826 0.080510 0.240825 3.000000000000000 0.616683
4 1 0.051492 0.000000 0.000000 0.000000 1.000000000000000 0.051492
4 2 0.601241 -0.000000 -0.000000 -0.000000 2.000000000000000 0.601241
4 3 0.601241 0.000000 0.000000 0.000000 3.000000000000000 0.601241
5 1 0.228116 -0.702358 0.702358 -0.702358 1.000000000000000 0.228116
5 2 0.616683 -0.240826 -0.080510 -0.240825 2.000000000000000 0.616683
5 3 0.616683 0.080510 0.240826 0.080510 3.000000000000000 0.616683
6 1 0.507468 -0.717862 0.717862 -0.717862 1.000000000000000 0.507468
6 2 0.654765 -0.292621 -0.084876 -0.292622 2.000000000000000 0.654765
6 3 0.654765 0.084876 0.292621 0.084876 3.000000000000000 0.654765
7 1 0.507468 -0.717862 -0.717862 -0.717862 1.000000000000000 0.507468
7 2 0.654765 -0.292622 -0.292621 -0.292621 2.000000000000000 0.654765
7 3 0.654765 0.084876 0.084876 0.084876 3.000000000000000 0.654765
8 1 0.551488 -0.000000 -0.806495 0.000000 1.000000000000000 0.551488
8 2 0.597427 -0.000000 -0.503184 0.000000 2.000000000000000 0.597427
8 3 0.597427 -0.000000 -0.503184 0.000000 3.000000000000000 0.597427
9 1 0.332032 0.713038 -0.643608 0.713038 1.000000000000000 0.332032
9 2 0.547572 -0.108669 -0.782100 -0.108670 2.000000000000000 0.547572
9 3 0.550560 -0.108696 -0.418346 -0.108695 3.000000000000000 0.550560
10 1 0.109051 0.476524 -0.150024 0.476524 1.000000000000000 0.109051
10 2 0.476043 -0.267442 -0.975327 -0.267442 2.000000000000000 0.476043
10 3 0.549760 -0.211033 -0.233481 -0.211032 3.000000000000000 0.549760
11 1 0.172334 -0.458315 0.758135 -0.458315 1.000000000000000 0.172334
11 2 0.444291 -0.457423 -0.933736 -0.457423 2.000000000000000 0.444291
11 3 0.593929 -0.250359 -0.027457 -0.250358 3.000000000000000 0.593929
12 1 0.396379 -0.706518 -0.000000 -0.706518 1.000000000000000 0.396379
12 2 0.499625 -0.557896 -0.000000 -0.557896 2.000000000000000 0.499625
12 3 0.651064 -0.157960 0.000000 -0.157960 3.000000000000000 0.651064
13 1 0.228116 -0.702358 -0.702358 -0.702358 1.000000000000000 0.228116
13 2 0.616683 -0.240825 -0.240826 -0.240826 2.000000000000000 0.616683
13 3 0.616683 0.080510 0.080510 0.080510 3.000000000000000 0.616683
14 1 0.332032 -0.713038 -0.643608 -0.713038 1.000000000000000 0.332032
14 2 0.547572 0.108670 -0.782100 0.108669 2.000000000000000 0.547572
14 3 0.550560 0.108695 -0.418346 0.108696 3.000000000000000 0.550560
15 1 0.313491 0.000000 -1.050227 -0.000000 1.000000000000000 0.313491
15 2 0.486709 0.000000 -0.320292 -0.000000 2.000000000000000 0.486709
15 3 0.486709 0.000000 -0.320292 -0.000000 3.000000000000000 0.486709
16 1 0.179809 0.121331 -0.603767 0.121331 1.000000000000000 0.179809
16 2 0.358815 0.425658 -0.470808 0.425657 2.000000000000000 0.358815
16 3 0.474162 -0.147007 -0.157874 -0.147007 3.000000000000000 0.474162
17 1 0.164166 -0.164987 0.000000 -0.164987 1.000000000000000 0.164166
17 2 0.263719 -0.177010 -0.000000 -0.177010 2.000000000000000 0.263719
17 3 0.518675 -0.266447 -0.000000 -0.266447 3.000000000000000 0.518675
18 1 0.172334 -0.458315 -0.758135 -0.458315 1.000000000000000 0.172334
18 2 0.444291 -0.457423 0.933736 -0.457423 2.000000000000000 0.444291
18 3 0.593929 -0.250358 0.027457 -0.250359 3.000000000000000 0.593929
19 1 0.051492 0.000000 -0.000000 -0.000000 1.000000000000000 0.051492
19 2 0.601241 -0.000000 -0.000000 -0.000000 2.000000000000000 0.601241
19 3 0.601241 0.000000 0.000000 0.000000 3.000000000000000 0.601241
20 1 0.109051 -0.476524 -0.150024 -0.476524 1.000000000000000 0.109051
20 2 0.476043 0.267442 -0.975327 0.267442 2.000000000000000 0.476043
