qpoint_index branchID frequency groupVel_x groupVel_y groupVel_z DOS gruneisen_param
Max bandID: 6
Max qpoint index: 1728
1 1 0.1578830338 -0.0000000 0.0000000 0.0000000 0.0000000000 0.6241581359
1 2 0.1578830338 0.0000000 0.0000000 0.0000000 0.0000000000 -0.6077726307
1 3 0.1578830338 -0.0000000 -0.0000000 0.0000000 0.0000000000 1.2207794144
1 4 23.4622180093 -0.0000000 -0.0000000 0.0000000 0.0000000000 1.0986811051
1 5 23.4622180093 -0.0000000 -0.0000000 0.0000000 0.0000000000 1.0955688131
1 6 23.4622180093 0.0000000 0.0000000 0.0000000 0.0000000000 1.0844030555
2 1 2.2011978590 -73.3840971 -73.3840971 73.3840971 0.0000000000 -0.4444856235
2 2 2.3839059170 -74.9836665 -74.9836665 74.9836665 0.0000000000 0.7495039524
2 3 4.0658786868 -141.2001028 -141.2001028 141.2001028 0.0000000000 1.1312681850
2 4 23.4192332344 3.3491567 3.3491567 -3.3491567 0.0000000000 1.1127861286
2 5 23.4401013984 2.7737894 2.7737894 -2.7737894 0.0000000000 1.1066730398
2 6 25.5430453186 -107.4158193 -107.4158193 107.4158193 0.0000000000 1.0575051213
3 1 4.3526450718 -61.3035781 -61.3035781 61.3035781 0.0000000000 0.0454827336
3 2 4.3526450718 -57.8770958 -57.8770958 57.8770958 0.0000000000 0.4427007635
3 3 8.4002851784 -137.0374076 -137.0374076 137.0374076 0.0000000000 1.0776055535
3 4 23.2403666703 8.9739364 8.9739364 -8.9739364 0.0000000000 1.1478574758
3 5 23.2403666703 8.5461264 8.5461264 -8.5461264 0.0000000000 1.1453917059
3 6 28.1360768874 -43.5053802 -43.5053802 43.5053802 0.0000046947 1.0391466411
4 1 5.8377407066 -43.3353735 -43.3353735 43.3353735 0.0000751156 0.0733062681
4 2 5.9742919612 -41.7093724 -41.7093724 41.7093724 0.0002300416 0.2331705055
4 3 12.2081696049 -111.1180795 -111.1180795 111.1180795 0.0004694726 1.0290326237
4 4 22.9707542918 6.2257035 6.2257035 -6.2257035 0.0007934086 1.1921478655
4 5 23.0055640736 6.3734158 6.3734158 -6.3734158 0.0012018497 1.1926608205
4 6 27.9933465618 43.3380903 43.3380903 -43.3380903 0.0016947959 1.0451875990
5 1 6.9687834993 -26.8588227 -26.8588227 26.8588227 0.0022722472 -0.0577575430
5 2 6.9687834993 -28.2352441 -28.2352441 28.2352441 0.0029342035 0.0905717904
5 3 15.1708665076 -84.2899236 -84.2899236 84.2899236 0.0036844811 1.0023125458
5 4 22.8684701729 2.3755233 2.3755233 -2.3755233 0.0046662227 1.2291861494
5 5 22.8684701730 2.8102679 2.8102679 -2.8102679 0.0058714004 1.2272545615
5 6 26.3618406996 51.0450191 51.0450191 -51.0450191 0.0072815086 1.0628078778
6 1 7.5799309347 -14.6151374 -14.6151374 14.6151374 0.0085277117 -0.1106323851
6 2 7.6210248161 -13.2233601 -13.2233601 13.2233601 0.0097819356 0.0178220140
6 3 17.3697787166 -57.3494835 -57.3494835 57.3494835 0.0110255963 0.9620237310
6 4 22.7632243934 3.6447795 3.6447795 -3.6447795 0.0122604288 1.2550850306
6 5 22.7767978595 4.0927165 4.0927165 -4.0927165 0.0135741761 1.2507235437
6 6 25.2194947183 24.0678442 24.0678442 -24.0678442 0.0150230320 1.0898291491
7 1 7.8138099779 -0.0000003 -0.0000003 0.0000003 0.0166851724 -0.0787851792
7 2 7.8138099779 0.0000003 0.0000003 -0.0000003 0.0185829076 -0.0264314123
7 3 18.3285000252 0.0000000 0.0000000 -0.0000000 0.0207135450 0.9428234501
7 4 22.6936144846 -0.0000001 -0.0000001 0.0000001 0.0230770847 1.2627793189
7 5 22.6936144846 0.0000001 0.0000001 -0.0000001 0.0257876391 1.2588867788
7 6 24.8478846482 -0.0000000 -0.0000000 0.0000000 0.0293542996 1.1032387570
8 1 7.5799309347 14.6151374 14.6151374 -14.6151374 0.0326426029 -0.0228919213
8 2 7.6210248161 13.2233601 13.2233601 -13.2233601 0.0355348667 -0.0244728697
8 3 17.3697787166 57.3494835 57.3494835 -57.3494835 0.0383499721 0.9808286396
8 4 22.7632243934 -3.6447795 -3.6447795 3.6447795 0.0413195050 1.2475722597
8 5 22.7767978595 -4.0927165 -4.0927165 4.0927165 0.0450762545 1.2453119884
8 6 25.2194947183 -24.0678442 -24.0678442 24.0678442 0.0491367655 1.0769271647
9 1 6.9687834993 28.2352441 28.2352441 -28.2352441 0.0533316278 0.0762414202
9 2 6.9687834993 26.8588227 26.8588227 -26.8588227 0.0576607675 0.0349193588
9 3 15.1708665076 84.2899236 84.2899236 -84.2899236 0.0621078834 1.0083748685
9 4 22.8684701729 -2.8102679 -2.8102679 2.8102679 0.0667169093 1.2192413918
9 5 22.8684701730 -2.3755233 -2.3755233 2.3755233 0.0724266363 1.2171449857
9 6 26.3618406996 -51.0450191 -51.0450191 51.0450191 0.0802887072 1.0568651967
10 1 5.8377407066 43.3353735 43.3353735 -43.3353735 0.0898861855 0.1032976578
10 2 5.9742919612 41.7093724 41.7093724 -41.7093724 0.0992013337 0.2744608705
10 3 12.2081696049 111.1180795 111.1180795 -111.1180795 0.1094583345 1.0121809389
10 4 22.9707542918 -6.2257035 -6.2257035 6.2257035 0.1207832969 1.1804187433
10 5 23.0055640736 -6.3734158 -6.3734158 6.3734158 0.1338078926 1.1774716138
10 6 27.9933465618 -43.3380903 -43.3380903 43.3380903 0.1500567635 1.0464219589
11 1 4.3526450718 57.8770958 57.8770958 -57.8770958 0.1684837666 0.1045046552
11 2 4.3526450718 61.3035781 61.3035781 -61.3035781 0.1905203564 0.3227367347
11 3 8.4002851784 137.0374076 137.0374076 -137.0374076 0.2250843040 1.0441695641
11 4 23.2403666703 -8.5461264 -8.5461264 8.5461264 0.2657147516 1.1361193656
11 5 23.2403666703 -8.9739364 -8.9739364 8.9739364 0.2801305532 1.1353903484
11 6 28.1360768874 43.5053802 43.5053802 -43.5053802 0.2893503768 1.0460321165
12 1 2.2011978590 73.3840971 73.3840971 -73.3840971 0.3008035773 -0.5535970282
12 2 2.3839059170 74.9836665 74.9836665 -74.9836665 0.3090373617 0.1826004861
12 3 4.0658786868 141.2001028 141.2001028 -141.2001028 0.3077561003 1.1191724108
12 4 23.4192332344 -3.3491567 -3.3491567 3.3491567 0.3134020782 1.1048155442
12 5 23.4401013984 -2.7737894 -2.7737894 2.7737894 0.3244889923 1.1056289376
12 6 25.5430453186 107.4158193 107.4158193 -107.4158193 0.3356630553 1.0695578767
13 1 1.7199479332 79.5396024 79.5396024 79.5396024 0.3468148326 -0.0483006007
13 2 2.1915993465 75.2787682 75.2787682 75.2787682 0.3582258461 0.5688381288
13 3 4.2590892563 138.9056772 138.9056772 138.9056772 0.3706270621 0.9910395792
13 4 23.4379149028 -2.8184967 -2.8184967 -2.8184967 0.3857284729 1.1134635657
13 5 23.4803195184 -1.7158609 -1.7158609 -1.7158609 0.3987016281 1.1107093037
13 6 25.5116291596 106.9165769 106.9165769 106.9165769 0.4092612728 1.0627371715
14 1 2.8992650632 0.0000000 0.0000000 164.6765541 0.4295238383 0.5256245654
14 2 3.4004300754 0.0000000 0.0000000 147.2559317 0.4497938002 0.5297853462
14 3 4.2946975717 0.0000000 0.0000000 204.5631003 0.4836686575 1.0222611800
14 4 23.5006085538 0.0000000 0.0000000 -1.8873390 0.4454400900 1.1219750158
14 5 23.5686402300 0.0000000 0.0000000 -0.8463411 0.3732446636 1.1178629521
14 6 25.7480491633 0.0000000 0.0000000 169.3784830 0.3380970789 1.0544665644
15 1 4.5192713829 -6.4010430 -6.4010430 146.5004932 0.3081218413 0.2987027662
15 2 4.8775383598 -13.8595281 -13.8595281 125.0406926 0.2857672214 0.6468177384
15 3 7.5308497398 -94.1209207 -94.1209207 164.2766412 0.2493831322 1.0191148045
15 4 23.3470798858 7.8801482 7.8801482 -13.4908430 0.2322905163 1.1511089212
15 5 23.4307996886 5.9556830 5.9556830 -5.7563274 0.2341527232 1.1461269318
15 6 27.7087387363 -35.9376535 -35.9376535 74.2907924 0.2371260991 1.0424397841
16 1 6.1476384899 -11.4158450 -11.4158450 121.9382014 0.2422357189 0.2221758053
16 2 6.2626190737 -11.2041870 -11.2041870 101.1637938 0.2396272281 0.4529967556
16 3 11.0217780149 -105.6398117 -105.6398117 114.4009793 0.2386602792 1.0071190352
16 4 23.0511825585 5.8667963 5.8667963 -10.0714793 0.2398694889 1.1955181930
16 5 23.1967902161 12.4621571 12.4621571 -1.6093156 0.2399908432 1.1953981700
16 6 28.0479709226 14.4446380 14.4446380 -45.7352659 0.2426410586 1.0438255471
17 1 7.2625809516 -4.2643173 -4.2643173 76.8979342 0.2559480143 0.1323112768
17 2 7.4657658056 4.8224847 4.8224847 110.1604775 0.1845597797 0.3222334867
17 3 14.0451837377 -97.3049580 -97.3049580 72.2274387 0.0908723988 0.9883209522
17 4 22.9351270638 2.6583175 2.6583175 0.3735891 0.0814900158 1.2367691634
17 5 22.9737746990 8.2319621 8.2319621 1.5981988 0.0861735268 1.2359804367
17 6 26.7530348868 41.9379510 41.9379510 -61.3338686 0.0909137088 1.0575507955
18 1 7.9254153392 4.9646034 4.9646034 54.3010943 0.0958811139 0.0525152533
